At1,At2,Class
-0.28,-1.3,BananaShape2
-0.0269,958,BananaShape1
-697,1.35,BananaShape2
1.38,-1.74,BananaShape1
408,1.16,BananaShape2
1.2,1.54,BananaShape1
2.07,1.02,BananaShape1
-462,-187,BananaShape1
1.27,589,BananaShape2
-101,-765,BananaShape2
-819,1.26,BananaShape2
615,-0.0228,BananaShape1
-1.79,-0.98,BananaShape1
-1.79,-954,BananaShape1
826,1.5,BananaShape1
845,766,BananaShape2
-476,-1.49,BananaShape2
1.01,0.48,BananaShape2
1.39,-376,BananaShape2
357,-1.07,BananaShape2
0.77,1.4,BananaShape2
-1.08,114,BananaShape1
-795,-1.43,BananaShape2
706,1.38,BananaShape1
-1.26,0.23,BananaShape1
-833,-569,BananaShape2
-0.0303,2.11,BananaShape2
-223,-419,BananaShape1
-562,-873,BananaShape2
926,972,BananaShape2
-1.86,-1.57,BananaShape1
-806,941,BananaShape2
-214,0.38,BananaShape1
744,1.42,BananaShape1
1.94,-0.65,BananaShape2
1.77,1.35,BananaShape1
-903,101,BananaShape1
-0.0418,-1.02,BananaShape2
309,-175,BananaShape1
-634,-969,BananaShape2
-1.62,102,BananaShape2
-1.21,1.27,BananaShape2
529,133,BananaShape2
386,1.55,BananaShape2
-0.0962,0.19,BananaShape1
-536,1.13,BananaShape2
1.02,-261,BananaShape1
-876,-1,BananaShape2
2.35,1.21,BananaShape1
-982,-1.08,BananaShape2
-1.16,469,BananaShape1
-1.74,693,BananaShape2
-1.1,1.16,BananaShape2
0.0179,-0.7,BananaShape1
-0.62,-984,BananaShape2
-1.52,0.66,BananaShape2
1.07,-985,BananaShape1
917,525,BananaShape2
-0.0482,1.52,BananaShape2
1.49,1.55,BananaShape1
-584,1.01,BananaShape2
-0.0625,-0.12,BananaShape1
-1.68,1.08,BananaShape2
-1.77,-923,BananaShape1
-202,712,BananaShape1
1.06,-427,BananaShape1
1.71,1.1,BananaShape1
-1.7,872,BananaShape2
1.86,1.14,BananaShape1
-529,-357,BananaShape1
-411,-1.3,BananaShape2
666,1.36,BananaShape1
162,-791,BananaShape2
-296,255,BananaShape1
-0.0347,1.3,BananaShape2
294,-1.5,BananaShape2
-0.52,-1.17,BananaShape2
741,-1.2,BananaShape1
-1.33,1.08,BananaShape2
-0.0987,966,BananaShape1
0.0131,-969,BananaShape2
896,1.58,BananaShape1
-412,492,BananaShape1
683,1.07,BananaShape2
-753,-0.0615,BananaShape1
-0.0674,1.85,BananaShape2
1.08,683,BananaShape2
1.15,243,BananaShape2
497,-671,BananaShape1
174,1.92,BananaShape2
1.64,0.0477,BananaShape2
-478,-796,BananaShape2
-447,-1,BananaShape2
-1.04,-0.2,BananaShape1
2.06,-482,BananaShape2
-0.89,-1.17,BananaShape2
312,-1.23,BananaShape2
976,-1.39,BananaShape1
291,-795,BananaShape2
303,-143,BananaShape1
1.1,-695,BananaShape1
579,-1.02,BananaShape1
-1.54,685,BananaShape2
916,144,BananaShape1
1.18,614,BananaShape2
254,-862,BananaShape2
-877,-401,BananaShape1
1.97,0.99,BananaShape1
471,1.39,BananaShape2
1.63,475,BananaShape2
945,309,BananaShape2
121,-1.3,BananaShape2
1.06,-0.69,BananaShape1
1.42,-0.32,BananaShape1
535,504,BananaShape1
912,-114,BananaShape2
-0.75,1.14,BananaShape2
1.14,-209,BananaShape1
-1.03,-1.09,BananaShape2
268,-1.08,BananaShape1
-1.77,-828,BananaShape1
378,-0.0609,BananaShape1
1.19,113,BananaShape1
-168,1.32,BananaShape2
2.07,1.21,BananaShape1
-1.07,707,BananaShape2
-1.19,309,BananaShape2
1.19,697,BananaShape2
121,1.72,BananaShape2
1.23,-0.0582,BananaShape1
0.44,399,BananaShape1
-723,633,BananaShape2
-0.63,949,BananaShape2
143,263,BananaShape1
1.23,-615,BananaShape1
1.9,-0.0565,BananaShape2
1.22,-0.0172,BananaShape2
0.0107,0.0258,BananaShape1
0.36,-715,BananaShape1
139,-1.01,BananaShape2
308,-1.06,BananaShape2
-645,-238,BananaShape1
1.15,715,BananaShape2
-531,-1.27,BananaShape2
1.05,701,BananaShape2
0.0681,-0.76,BananaShape2
-595,1.46,BananaShape2
0.72,989,BananaShape2
-1.86,-963,BananaShape1
0.0692,-828,BananaShape2
863,765,BananaShape2
-574,1.32,BananaShape2
-467,-1.51,BananaShape2
1.43,484,BananaShape2
-592,-1.17,BananaShape2
122,-41,BananaShape1
909,118,BananaShape2
-705,-0.93,BananaShape2
1.05,453,BananaShape2
-786,-1.33,BananaShape2
0.07,1.7,BananaShape2
-0.36,-1.28,BananaShape2
-1.25,985,BananaShape2
1.33,1.42,BananaShape1
778,-694,BananaShape1
-1.87,-1.26,BananaShape1
178,1.49,BananaShape2
-1.03,1.18,BananaShape2
-956,-818,BananaShape1
0.0345,-691,BananaShape2
-1.25,512,BananaShape1
-187,-1.38,BananaShape2
-1.24,1,BananaShape2
329,-0.37,BananaShape1
-1.37,-803,BananaShape1
529,1.62,BananaShape2
-0.23,1.08,BananaShape2
-619,-748,BananaShape2
-914,1.07,BananaShape2
163,-1.31,BananaShape2
1.19,-1.34,BananaShape1
983,-1.31,BananaShape1
-1.63,-1.41,BananaShape1
-1.02,-296,BananaShape1
-387,0.26,BananaShape1
-1.59,-1,BananaShape1
1.69,-724,BananaShape2
-869,-0.0393,BananaShape1
-1.9,106,BananaShape1
-1.75,722,BananaShape2
-1.06,-1.07,BananaShape2
-509,-1.41,BananaShape2
-112,-841,BananaShape1
1.08,0.79,BananaShape2
498,567,BananaShape2
-796,-1.63,BananaShape2
-0.3,-1.04,BananaShape2
-2.34,246,BananaShape2
842,-1.41,BananaShape1
-0.0263,-1.35,BananaShape2
586,1.15,BananaShape2
1.87,-239,BananaShape2
404,-868,BananaShape2
564,-1.13,BananaShape1
-0.0584,0.54,BananaShape1
-1.58,-1.26,BananaShape1
-813,-0.57,BananaShape1
-579,-748,BananaShape1
-1.35,1.32,BananaShape2
-639,-938,BananaShape2
1.49,-0.00779,BananaShape2
719,0.0781,BananaShape1
0.0346,1.7,BananaShape2
-274,0.0468,BananaShape1
207,0.0304,BananaShape1
1.63,-251,BananaShape2
-207,-745,BananaShape2
-717,1,BananaShape2
1.17,-567,BananaShape1
661,1.69,BananaShape2
-1.13,0.6,BananaShape2
-109,-1.25,BananaShape2
0.68,702,BananaShape2
867,0.81,BananaShape2
-562,-1.01,BananaShape2
1.79,-102,BananaShape2
-1.87,-1.1,BananaShape1
-946,-197,BananaShape1
812,-195,BananaShape1
287,-517,BananaShape1
262,-673,BananaShape2
-358,-1.02,BananaShape2
-392,-1.27,BananaShape2
-1.2,-1.02,BananaShape2
-337,-1.45,BananaShape2
-1.54,-643,BananaShape1
311,1.76,BananaShape2
-473,-749,BananaShape2
1.71,0.0217,BananaShape2
1.88,-368,BananaShape2
-1.18,-0.0978,BananaShape1
0.0431,-0.0199,BananaShape1
1.23,354,BananaShape2
0.0788,-0.0998,BananaShape1
0.0544,-1.59,BananaShape2
-0.24,1.72,BananaShape1
-496,-1.09,BananaShape2
-636,1.35,BananaShape2
1.15,634,BananaShape2
1.29,-1.43,BananaShape1
-983,1.06,BananaShape2
-206,-474,BananaShape1
298,-829,BananaShape1
-972,-1.06,BananaShape2
1.21,354,BananaShape2
328,1.71,BananaShape1
313,-1.07,BananaShape2
-1.24,-352,BananaShape1
-1.39,-0.68,BananaShape1
1.2,-1.56,BananaShape1
-208,332,BananaShape1
553,1.54,BananaShape2
354,-1.19,BananaShape2
-0.74,-1.53,BananaShape2
-769,1.35,BananaShape2
-0.0381,-791,BananaShape2
-102,-0.13,BananaShape1
-1.06,496,BananaShape1
-481,1.09,BananaShape2
866,-917,BananaShape1
1.06,266,BananaShape2
1.73,1.68,BananaShape1
-516,-935,BananaShape2
-893,-1.27,BananaShape2
1.2,-948,BananaShape1
763,1.15,BananaShape2
794,762,BananaShape2
-314,0.0194,BananaShape1
-456,1.55,BananaShape2
1.04,563,BananaShape2
-0.0978,-424,BananaShape1
1.37,-643,BananaShape2
-201,0.0726,BananaShape1
-1.97,611,BananaShape2
0.99,-0.0762,BananaShape1
1.28,902,BananaShape2
569,1.62,BananaShape1
-1.2,-451,BananaShape1
-508,1.48,BananaShape2
-1.69,-175,BananaShape2
-298,-1.26,BananaShape2
301,-1.17,BananaShape2
975,1.48,BananaShape2
-853,-254,BananaShape1
837,1.75,BananaShape1
379,1.36,BananaShape2
-364,-0.0828,BananaShape1
939,-351,BananaShape1
1.24,554,BananaShape2
1.37,-331,BananaShape1
-0.48,-913,BananaShape2
1.34,-261,BananaShape2
286,1.23,BananaShape2
672,2.03,BananaShape2
-0.52,-1.52,BananaShape2
-513,1.29,BananaShape2
-648,-631,BananaShape2
-113,-197,BananaShape1
103,329,BananaShape1
-941,976,BananaShape2
-533,-402,BananaShape1
1.09,-1.59,BananaShape1
-395,-756,BananaShape2
1.46,-417,BananaShape1
-724,-1.26,BananaShape2
-1.59,-0.98,BananaShape1
159,1.51,BananaShape2
-843,1.4,BananaShape2
-581,-1.27,BananaShape2
-268,-1.26,BananaShape2
-1.58,-842,BananaShape1
-0.52,1.2,BananaShape2
-0.0203,1.92,BananaShape1
-1.52,934,BananaShape2
1.05,444,BananaShape2
351,-0.0402,BananaShape1
-322,-1.12,BananaShape2
-654,-999,BananaShape2
165,-1.58,BananaShape2
2.6,951,BananaShape1
1.52,-0.0653,BananaShape2
-1.29,-529,BananaShape1
1.18,392,BananaShape2
-0.00264,-1.02,BananaShape2
1.24,273,BananaShape2
1.45,398,BananaShape2
0.54,-1.26,BananaShape2
-324,-1.03,BananaShape2
-1.69,-1.2,BananaShape1
-455,868,BananaShape2
2.16,1.16,BananaShape1
-232,-1.4,BananaShape2
685,1.69,BananaShape2
-0.0537,-1.52,BananaShape2
1.03,548,BananaShape2
-758,-1.21,BananaShape2
-259,496,BananaShape1
-472,411,BananaShape1
-127,-1.33,BananaShape2
-784,-1.05,BananaShape2
-1.73,-1.32,BananaShape1
-1.24,-919,BananaShape1
275,-987,BananaShape2
1.66,672,BananaShape2
-1.07,963,BananaShape2
-262,1.28,BananaShape2
-1.4,-0.37,BananaShape1
-288,305,BananaShape1
778,1.44,BananaShape1
1.23,-493,BananaShape2
-1.27,-273,BananaShape1
-994,1.14,BananaShape2
0.74,1.2,BananaShape1
489,904,BananaShape2
805,-237,BananaShape1
-1.86,-1.47,BananaShape1
-617,-1.02,BananaShape2
-0.66,965,BananaShape2
487,-0.13,BananaShape1
-0.0508,-1.19,BananaShape2
0.96,-522,BananaShape1
-1.21,778,BananaShape2
149,1.98,BananaShape2
-1.76,-903,BananaShape1
0.0486,-389,BananaShape1
-891,1,BananaShape2
263,-1.48,BananaShape2
1.21,1.28,BananaShape2
-1.46,0.0829,BananaShape1
-1.04,1.19,BananaShape2
-1.69,-542,BananaShape1
707,0.0524,BananaShape1
1.31,-254,BananaShape2
-488,-566,BananaShape1
1.8,-811,BananaShape2
1.84,1.18,BananaShape1
1.49,-156,BananaShape2
-881,-1.59,BananaShape2
529,788,BananaShape1
571,197,BananaShape1
-2.07,0.0318,BananaShape2
-1.23,-308,BananaShape1
682,1.5,BananaShape2
-1.33,0.0398,BananaShape1
-1.35,424,BananaShape1
307,-678,BananaShape2
859,-952,BananaShape1
-672,683,BananaShape1
1.36,258,BananaShape2
-0.37,1.48,BananaShape2
-1.9,-1.1,BananaShape1
-1.38,-0.32,BananaShape1
234,958,BananaShape2
-1.01,-771,BananaShape1
-739,578,BananaShape1
-107,-1.5,BananaShape2
592,973,BananaShape2
0.52,1.21,BananaShape2
416,1.86,BananaShape1
-181,344,BananaShape1
1.27,-441,BananaShape2
422,-934,BananaShape1
-704,-802,BananaShape2
88,-1.25,BananaShape2
952,427,BananaShape2
1.39,-218,BananaShape2
-1.08,-1.3,BananaShape2
1.25,-0.35,BananaShape2
183,-1.21,BananaShape2
-0.0765,-1.12,BananaShape2
-407,602,BananaShape1
975,809,BananaShape2
-0.0552,882,BananaShape1
-946,1.02,BananaShape2
1.11,-106,BananaShape2
-794,1.07,BananaShape2
-652,-1.1,BananaShape2
-2.08,-1.78,BananaShape1
-631,-867,BananaShape2
-856,-1.31,BananaShape2
-215,-1.01,BananaShape2
-1.12,154,BananaShape1
-1.1,135,BananaShape1
-134,-1.1,BananaShape2
844,243,BananaShape2
472,289,BananaShape1
1.64,174,BananaShape2
-413,-0.0275,BananaShape1
-875,591,BananaShape1
-404,178,BananaShape1
-297,-467,BananaShape1
-698,-1.26,BananaShape2
1.2,298,BananaShape2
-346,-1.5,BananaShape2
-1.14,-494,BananaShape1
-0.0242,-659,BananaShape1
-495,-1.2,BananaShape2
-803,-782,BananaShape2
-641,516,BananaShape1
-0.0874,-948,BananaShape2
-1.04,679,BananaShape2
701,0.0237,BananaShape1
-677,-1.41,BananaShape2
-516,831,BananaShape1
-864,-1.56,BananaShape2
863,-1.02,BananaShape1
-1.12,559,BananaShape1
-779,-1.14,BananaShape2
-0.9,1.49,BananaShape2
2.43,1.39,BananaShape1
-1.67,-1.73,BananaShape1
743,-1.18,BananaShape1
-1.52,-658,BananaShape1
1.28,-176,BananaShape1
1.58,-1.29,BananaShape1
0.61,488,BananaShape2
-2.15,-858,BananaShape1
-0.0307,678,BananaShape1
-227,-1.19,BananaShape2
642,1.65,BananaShape1
-1.58,-1.25,BananaShape1
373,1.48,BananaShape2
333,-845,BananaShape1
-1.18,-758,BananaShape1
1.15,-1.52,BananaShape1
-601,-539,BananaShape1
-1.57,-1.74,BananaShape1
652,-646,BananaShape1
-1.43,1.26,BananaShape2
0.71,0.0529,BananaShape1
1.18,585,BananaShape2
-1.01,-1.27,BananaShape1
0.13,1.38,BananaShape2
469,-321,BananaShape1
-1.08,0.72,BananaShape2
987,858,BananaShape2
1.57,-389,BananaShape2
-411,727,BananaShape1
-0.72,189,BananaShape1
-0.00329,-0.0777,BananaShape1
-937,-86,BananaShape1
2.21,1.02,BananaShape1
-606,-997,BananaShape2
1.4,377,BananaShape2
0.37,312,BananaShape1
-1.41,-214,BananaShape1
-192,1.66,BananaShape2
-0.0246,-141,BananaShape1
1.07,-0.0433,BananaShape2
-477,-1.25,BananaShape2
-1.35,-485,BananaShape1
996,225,BananaShape2
-1.25,-1.28,BananaShape2
-198,1.67,BananaShape1
-0.8,-282,BananaShape1
168,345,BananaShape1
851,1.46,BananaShape2
1.45,-1.24,BananaShape1
-1.02,-1.18,BananaShape2
-1.31,916,BananaShape2
-457,-322,BananaShape1
0.0744,1.04,BananaShape2
902,-1.08,BananaShape1
-904,953,BananaShape2
-0.11,-911,BananaShape2
1.01,-1.05,BananaShape1
441,-1.13,BananaShape2
-287,-726,BananaShape1
205,-471,BananaShape1
-625,1.14,BananaShape2
-623,-737,BananaShape1
-254,-932,BananaShape2
-817,-1.19,BananaShape2
-1.73,0.87,BananaShape2
176,1.94,BananaShape2
899,-235,BananaShape1
834,-584,BananaShape1
0.15,-256,BananaShape1
-1.23,-336,BananaShape1
866,-807,BananaShape1
1.07,0.0877,BananaShape2
-256,1.52,BananaShape2
2.34,-1.25,BananaShape2
-374,-1.08,BananaShape2
-1.16,381,BananaShape2
-1.3,-1.17,BananaShape1
527,-251,BananaShape1
-748,-0.57,BananaShape1
1.02,997,BananaShape2
105,103,BananaShape1
563,137,BananaShape1
317,-0.0233,BananaShape1
0.15,1.3,BananaShape2
-1.31,0.00723,BananaShape1
1.42,-146,BananaShape2
576,1.7,BananaShape1
-106,-316,BananaShape1
-1.2,932,BananaShape2
-1.14,488,BananaShape2
-151,1.66,BananaShape2
-1.46,-909,BananaShape1
1.36,-425,BananaShape2
1.41,0.83,BananaShape2
176,-1.11,BananaShape2
-526,1.26,BananaShape2
552,-1.07,BananaShape1
-1.14,304,BananaShape1
-1.64,143,BananaShape1
-189,-1.24,BananaShape2
775,0.0171,BananaShape1
-598,1.22,BananaShape2
-1.71,-1.29,BananaShape1
1.52,409,BananaShape2
548,-959,BananaShape2
-636,-988,BananaShape1
-0.0723,-1.08,BananaShape2
0.0949,-854,BananaShape1
726,289,BananaShape2
1.43,147,BananaShape2
-0.0238,4.07E-04,BananaShape1
939,1.69,BananaShape1
-1.29,511,BananaShape2
324,1.68,BananaShape1
-506,-1.09,BananaShape2
341,-1.32,BananaShape2
-978,931,BananaShape2
-1.31,-229,BananaShape1
1.29,677,BananaShape2
1.01,-0.94,BananaShape1
0.0219,-388,BananaShape1
-647,-1.22,BananaShape2
-0.31,-1.38,BananaShape2
-146,132,BananaShape1
1.38,877,BananaShape2
0.24,-1.14,BananaShape2
-1.01,-1.53,BananaShape2
1.21,-1.02,BananaShape1
-623,1.24,BananaShape2
-1.42,0.83,BananaShape2
-0.0908,-846,BananaShape2
1.39,-872,BananaShape1
502,-536,BananaShape1
-46,1.51,BananaShape2
-1.35,-1.19,BananaShape1
1.77,109,BananaShape2
-166,-986,BananaShape2
152,1.53,BananaShape2
308,933,BananaShape2
-1.11,439,BananaShape1
-1.87,-451,BananaShape1
-1.66,-735,BananaShape1
1.18,424,BananaShape2
-109,-884,BananaShape2
243,304,BananaShape1
1.04,816,BananaShape2
514,1.27,BananaShape2
-145,1.67,BananaShape2
169,1.86,BananaShape1
-984,-807,BananaShape2
379,-755,BananaShape2
-1.11,655,BananaShape1
-918,1.13,BananaShape2
-0.43,-722,BananaShape2
-1.62,-1.85,BananaShape1
377,198,BananaShape1
-329,-858,BananaShape2
125,2.16,BananaShape2
-108,-1.3,BananaShape2
-118,1.7,BananaShape1
826,744,BananaShape2
-1.1,811,BananaShape2
1.2,-598,BananaShape1
-1.89,-727,BananaShape1
1.45,229,BananaShape2
833,-254,BananaShape1
-1.7,-845,BananaShape1
272,1.82,BananaShape1
179,1.81,BananaShape2
-951,533,BananaShape2
-1.07,534,BananaShape1
-874,922,BananaShape2
-0.0715,1.41,BananaShape2
195,-296,BananaShape1
373,-1.17,BananaShape2
808,-831,BananaShape1
-504,1.03,BananaShape2
1.39,262,BananaShape2
1.12,862,BananaShape2
755,0.22,BananaShape1
1.57,-114,BananaShape2
1.32,1.36,BananaShape1
802,133,BananaShape2
-558,572,BananaShape1
0.27,696,BananaShape1
-606,-546,BananaShape1
-556,-505,BananaShape1
-1.74,254,BananaShape2
143,337,BananaShape1
1.19,-404,BananaShape2
-0.16,-1.36,BananaShape2
1.29,153,BananaShape2
1.47,-312,BananaShape1
-853,-1.17,BananaShape2
-377,607,BananaShape1
816,306,BananaShape1
1.16,-1.08,BananaShape1
378,-0.56,BananaShape1
-567,-1.14,BananaShape2
934,258,BananaShape1
1.01,-743,BananaShape1
0.96,-0.9,BananaShape1
-249,0.0234,BananaShape1
1.45,-0.26,BananaShape2
-497,1.07,BananaShape2
827,755,BananaShape2
604,374,BananaShape2
2.51,1.11,BananaShape1
154,-653,BananaShape1
-264,-768,BananaShape1
-573,-789,BananaShape1
792,988,BananaShape2
-0.0338,1.52,BananaShape2
1.59,-522,BananaShape2
-0.61,-306,BananaShape1
184,1.7,BananaShape1
0.0317,-821,BananaShape1
781,415,BananaShape2
118,-1.37,BananaShape2
-1.57,942,BananaShape2
415,1.8,BananaShape2
552,2.05,BananaShape2
-1.21,-934,BananaShape2
-2.14,-476,BananaShape1
0.0154,-1.41,BananaShape2
-0.0789,-1.35,BananaShape2
-397,1.32,BananaShape2
-466,145,BananaShape1
238,-1.51,BananaShape2
-433,-1.13,BananaShape2
1.3,555,BananaShape2
0.0991,-1.05,BananaShape2
0.59,-796,BananaShape1
-235,-617,BananaShape1
796,429,BananaShape1
-1.97,-271,BananaShape1
284,2.37,BananaShape2
-0.39,-209,BananaShape1
165,-405,BananaShape1
-424,2.01,BananaShape2
-934,-1.58,BananaShape2
218,-368,BananaShape1
-283,1.88,BananaShape1
-347,-1.5,BananaShape2
-342,-1.31,BananaShape2
313,189,BananaShape1
-341,-0.0358,BananaShape1
-0.00698,-1.15,BananaShape2
-1.73,-1.3,BananaShape1
-451,775,BananaShape1
-1.62,-712,BananaShape1
-862,-0.0613,BananaShape1
-828,-839,BananaShape2
-1.01,1.07,BananaShape2
1.02,858,BananaShape2
-255,387,BananaShape1
118,0.13,BananaShape1
-786,-0.64,BananaShape1
-0.0895,1.65,BananaShape1
2.46,1.23,BananaShape1
-803,-705,BananaShape2
-618,-1.2,BananaShape2
713,1.02,BananaShape2
976,-1.53,BananaShape1
1.47,1.21,BananaShape1
-1.97,-674,BananaShape1
-12,1.42,BananaShape2
748,-558,BananaShape1
-1.45,-203,BananaShape1
199,-0.86,BananaShape2
-1.68,-0.51,BananaShape1
0.56,491,BananaShape2
216,-1.12,BananaShape2
-232,-843,BananaShape1
1.66,1.42,BananaShape1
301,2.01,BananaShape2
1.33,825,BananaShape2
1.18,0.08,BananaShape2
-1.59,138,BananaShape2
1.78,-508,BananaShape2
1.37,-1.52,BananaShape1
802,431,BananaShape1
913,-318,BananaShape1
0.00564,-1.14,BananaShape2
-1.08,1.31,BananaShape2
379,1.37,BananaShape2
-106,-933,BananaShape2
854,-827,BananaShape1
-1.47,-212,BananaShape1
1.24,-1.33,BananaShape1
-314,-984,BananaShape2
-474,-911,BananaShape2
659,-57,BananaShape1
1.83,349,BananaShape2
1.51,-1.15,BananaShape1
-237,-1.4,BananaShape2
16,-1.13,BananaShape2
0.26,1.91,BananaShape2
-104,-1.09,BananaShape2
-724,-1.48,BananaShape2
1.24,-145,BananaShape2
-776,-1.26,BananaShape2
1.16,0.0489,BananaShape2
1.05,-2.08,BananaShape1
143,1.05,BananaShape2
-1.42,-1.51,BananaShape1
1.21,642,BananaShape2
551,1.48,BananaShape2
191,1.72,BananaShape2
345,-891,BananaShape2
-396,-1.38,BananaShape2
-1.59,-766,BananaShape1
903,-1.17,BananaShape1
1.57,-0.0908,BananaShape2
1.18,913,BananaShape2
-323,-264,BananaShape1
-302,-1.22,BananaShape2
-1.26,-296,BananaShape1
874,-1.41,BananaShape1
-885,1.05,BananaShape2
-1.52,-0.74,BananaShape1
-716,-194,BananaShape1
-579,-397,BananaShape1
-1.52,388,BananaShape2
1.57,-566,BananaShape2
-702,-1.2,BananaShape2
-366,-882,BananaShape2
1.45,-1.78,BananaShape1
-1.22,831,BananaShape2
1.39,-1.11,BananaShape1
969,921,BananaShape2
659,1.07,BananaShape2
-238,126,BananaShape1
-576,-463,BananaShape1
171,-886,BananaShape2
893,345,BananaShape2
-1.49,885,BananaShape2
258,309,BananaShape1
-609,-917,BananaShape2
1.05,651,BananaShape2
-827,-506,BananaShape1
374,-1.39,BananaShape2
-784,969,BananaShape2
1.08,1.42,BananaShape1
146,-151,BananaShape1
-1.93,603,BananaShape2
-734,-1.09,BananaShape2
-1.19,-529,BananaShape1
0.0176,0.0932,BananaShape1
1.72,-448,BananaShape2
1.37,625,BananaShape2
1.3,186,BananaShape2
-0.0618,358,BananaShape1
-929,-1.39,BananaShape2
1.14,-0.0771,BananaShape2
-0.85,-0.92,BananaShape2
-1.78,-1.49,BananaShape1
-1.86,-977,BananaShape1
-699,-5.78E-04,BananaShape1
-995,-1.39,BananaShape2
-233,593,BananaShape1
-415,1.48,BananaShape2
-1.66,-792,BananaShape1
-152,-669,BananaShape2
-673,313,BananaShape1
-1.24,-0.72,BananaShape1
0.73,-0.37,BananaShape2
-1.25,104,BananaShape1
1.85,1.38,BananaShape1
134,-922,BananaShape2
546,-195,BananaShape1
604,1.03,BananaShape2
-1.13,-1.08,BananaShape1
-1.13,193,BananaShape1
-1.62,1.02,BananaShape2
-1.07,-1.11,BananaShape1
-443,1.86,BananaShape2
0.0438,536,BananaShape1
-262,-1.2,BananaShape2
156,152,BananaShape1
-311,995,BananaShape1
639,1.2,BananaShape2
-1.42,-0.36,BananaShape1
-1.43,707,BananaShape2
1.52,-1.34,BananaShape1
-1.91,-2.24,BananaShape1
132,2,BananaShape2
2.06,1.12,BananaShape1
512,-1.34,BananaShape2
-138,-951,BananaShape2
1.15,824,BananaShape2
233,-1.29,BananaShape2
-124,-1.27,BananaShape2
0.0584,-638,BananaShape1
486,245,BananaShape1
-0.0227,163,BananaShape1
1.15,1.16,BananaShape1
834,1.24,BananaShape2
-2.03,-1.65,BananaShape1
0.0205,1.23,BananaShape2
522,1.36,BananaShape1
-801,-0.24,BananaShape1
-178,-238,BananaShape1
1.16,1.05,BananaShape2
-1.94,-1.03,BananaShape1
1.45,273,BananaShape2
-1.07,1.16,BananaShape2
413,-1.3,BananaShape2
1.32,0.0928,BananaShape2
322,1.68,BananaShape1
-292,-1.32,BananaShape2
206,1.19,BananaShape2
-639,-1.37,BananaShape2
407,1.67,BananaShape1
144,1.56,BananaShape2
